time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,0,0,0,0
2026-06-22 00:00:00+00:00,0,0,0,0
2026-06-23 00:00:00+00:00,0,0,0,0
2026-06-24 00:00:00+00:00,0,0,0,0
2026-06-25 00:00:00+00:00,0,0,0,0
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,0,0,0,0
2026-06-28 00:00:00+00:00,0,0,0,0
2026-06-29 00:00:00+00:00,7,7,0,0
2026-06-30 00:00:00+00:00,0,0,0,0
2026-07-01 00:00:00+00:00,0,0,0,0
2026-07-02 00:00:00+00:00,0,0,0,0
2026-07-03 00:00:00+00:00,0,0,0,0
2026-07-04 00:00:00+00:00,0,0,0,0
2026-07-05 00:00:00+00:00,0,0,0,0
2026-07-06 00:00:00+00:00,0,0,0,0
2026-07-07 00:00:00+00:00,0,0,0,0
2026-07-08 00:00:00+00:00,0,0,0,0
2026-07-09 00:00:00+00:00,0,0,0,0
2026-07-10 00:00:00+00:00,0,0,0,0
2026-07-11 00:00:00+00:00,0,0,0,0
2026-07-12 00:00:00+00:00,2,2,0,0
2026-07-13 00:00:00+00:00,0,0,0,0
2026-07-14 00:00:00+00:00,1,1,1,1
2026-07-15 00:00:00+00:00,0,0,0,0
2026-07-16 00:00:00+00:00,1,1,0,0
2026-07-17 00:00:00+00:00,1,1,0,0
2026-07-18 00:00:00+00:00,1,1,0,0
2026-07-19 00:00:00+00:00,0,0,0,0
2026-07-20 00:00:00+00:00,0,0,0,0
2026-07-21 00:00:00+00:00,0,0,0,0
2026-07-22 00:00:00+00:00,0,0,0,0
2026-07-23 00:00:00+00:00,0,0,0,0
2026-07-24 00:00:00+00:00,0,0,0,0
2026-07-25 00:00:00+00:00,0,0,0,0
2026-07-26 00:00:00+00:00,0,0,0,0
2026-07-27 00:00:00+00:00,0,0,0,0
2026-07-28 00:00:00+00:00,0,0,0,0
2026-07-29 00:00:00+00:00,0,0,0,0
2026-07-30 00:00:00+00:00,0,0,0,0
2026-07-31 00:00:00+00:00,0,0,0,0
2026-08-01 00:00:00+00:00,0,0,0,0
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,0,0,0,0
2026-08-04 00:00:00+00:00,0,0,0,0
2026-08-05 00:00:00+00:00,0,0,0,0
2026-08-06 00:00:00+00:00,1,1,0,0
2026-08-07 00:00:00+00:00,0,0,0,0
2026-08-08 00:00:00+00:00,0,0,0,0
2026-08-09 00:00:00+00:00,0,0,0,0
2026-08-10 00:00:00+00:00,0,0,0,0
2026-08-11 00:00:00+00:00,0,0,0,0
2026-08-12 00:00:00+00:00,0,0,0,0
2026-08-13 00:00:00+00:00,0,0,0,0
2026-08-14 00:00:00+00:00,0,0,0,0
