time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,32,12,0,0
2026-06-14 00:00:00+00:00,24,7,0,0
2026-06-15 00:00:00+00:00,12,4,0,0
2026-06-16 00:00:00+00:00,0,0,0,0
2026-06-17 00:00:00+00:00,13,6,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,6,3,0,0
2026-06-20 00:00:00+00:00,9,5,0,0
2026-06-21 00:00:00+00:00,26,13,0,0
2026-06-22 00:00:00+00:00,36,13,0,0
2026-06-23 00:00:00+00:00,31,10,0,0
2026-06-24 00:00:00+00:00,36,13,0,0
2026-06-25 00:00:00+00:00,10,2,0,0
2026-06-26 00:00:00+00:00,3,3,0,0
